station_id,station_name,region,latitude,longitude,elevation,country,daily_available,daily_records,daily_has_coco,daily_coco_count,daily_error,hourly_available,hourly_records,hourly_has_coco,hourly_coco_count,hourly_error,last_daily_date,last_hourly_date
87007,La Quiaca Observatorio,Y,-22.1,-65.6,3462.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87016,Oran Aerodrome,A,-23.15,-64.3167,357.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87022,Tartagal Aerodrome,A,-22.65,-63.8167,450.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87046,Jujuy Aerodrome,Y,-24.3833,-65.0833,921.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87047,Salta Aerodrome,A,-24.85,-65.4833,1238.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87065,Rivadavia,A,-24.1667,-62.9,205.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87078,Las Lomitas,P,-24.7,-60.5833,130.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87097,Iguazu Aerodrome,N,-25.7333,-54.4667,270.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87121,Tucuman Aerodrome,T,-26.85,-65.1,440.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87129,Santiago Del Estero Aero.,G,-27.7667,-64.3,198.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87148,Presidencia Roque Saenz Pena Aero / Presidencia Roque Sáenz Peña,H,-26.7333,-60.4833,91.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87149,Presidencia Roque Saenz Pena Aerodrome,H,-26.8167,-60.45,91.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87155,Resistencia Aero.,H,-27.45,-59.05,53.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87162,Formosa Aerodrome,P,-26.2,-58.2333,59.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87163,B. De Irigoyen Aerodrome,N,-26.25,-53.15,815.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87166,Corrientes Aero.,W,-27.45,-58.7667,62.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87178,Posadas Aero.,N,-27.3667,-55.9667,131.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87211,Tinogasta,K,-28.0667,-67.5667,1201.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87213,Chilecito Aerodrome,F,-29.2333,-67.4333,945.0,AR,True,27,False,0,,True,679,True,671,,2025-06-18,2025-06-21 12:00
87214,Chilecito,F,-29.2167,-67.4333,950.0,AR,False,0,False,0,,False,0,False,0,,,
87217,La Rioja Aero.,F,-29.3833,-66.8167,438.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
